Date,Open,High,Low,Close,Volume
2022-05-09 04:00:00+00:00,405.1,406.41,396.5,398.17,155879661.0
2022-05-10 04:00:00+00:00,404.49,406.08,394.82,399.09,135027626.0
2022-05-11 04:00:00+00:00,398.07,404.04,391.96,392.75,144045270.0
2022-05-12 04:00:00+00:00,389.37,395.8,385.15,392.34,126713465.0
2022-05-13 04:00:00+00:00,396.71,403.18,395.61,401.72,104349084.0
2022-05-16 04:00:00+00:00,399.98,403.97,397.6,400.09,80100945.0
2022-05-17 04:00:00+00:00,406.53,408.57,402.5824,408.32,83226741.0
2022-05-18 04:00:00+00:00,403.5,403.8,390.55,391.86,117836734.0
2022-05-19 04:00:00+00:00,388.62,394.14,387.11,389.46,99939615.0
2022-05-20 04:00:00+00:00,393.25,397.03,380.54,389.63,131446436.0
2022-05-23 04:00:00+00:00,392.83,397.73,390.38,396.92,76648121.0
2022-05-24 04:00:00+00:00,392.56,395.15,386.96,393.89,92541551.0
2022-05-25 04:00:00+00:00,392.31,399.45,391.89,397.37,92887420.0
2022-05-26 04:00:00+00:00,398.67,407.04,398.45,405.31,83804711.0
2022-05-27 04:00:00+00:00,407.91,415.3801,407.7,415.26,87207078.0
2022-05-31 04:00:00+00:00,413.55,416.46,410.03,412.93,97389986.0
2022-06-01 04:00:00+00:00,415.17,416.24,406.93,409.59,87995482.0
2022-06-02 04:00:00+00:00,409.42,417.44,407.04,417.34,81695452.0
2022-06-03 04:00:00+00:00,412.4,414.04,409.51,410.54,72004446.0
2022-06-06 04:00:00+00:00,414.78,416.609,410.5523,411.79,58402477.0
2022-06-07 04:00:00+00:00,408.1,416.22,407.61,415.74,59483946.0
2022-06-08 04:00:00+00:00,413.93,415.82,410.38,411.22,65642329.0
2022-06-09 04:00:00+00:00,409.34,411.74,401.44,401.44,88177354.0
2022-06-10 04:00:00+00:00,394.88,395.7777,389.75,389.8,135486175.0
2022-06-13 04:00:00+00:00,379.85,381.81,373.3,375.0,173443346.0
2022-06-14 04:00:00+00:00,376.85,377.94,370.59,373.87,105591082.0
2022-06-15 04:00:00+00:00,377.36,383.9,372.12,379.2,128798622.0
2022-06-16 04:00:00+00:00,370.51,370.94,364.0799,366.65,138951395.0
2022-06-17 04:00:00+00:00,365.51,369.38,362.17,365.86,111452712.0
2022-06-21 04:00:00+00:00,371.89,376.525,371.81,375.07,79074527.0
2022-06-22 04:00:00+00:00,370.62,378.72,370.18,374.39,91634199.0
2022-06-23 04:00:00+00:00,376.64,378.83,372.89,378.06,80303462.0
2022-06-24 04:00:00+00:00,381.4,390.09,381.365,390.08,98013848.0
2022-06-27 04:00:00+00:00,391.05,391.36,387.44,388.59,67337838.0
2022-06-28 04:00:00+00:00,390.23,393.16,380.53,380.65,88649297.0
2022-06-29 04:00:00+00:00,381.23,382.27,378.42,380.34,65793757.0
2022-06-30 04:00:00+00:00,376.24,380.6582,372.56,377.25,114444484.0
2022-07-01 04:00:00+00:00,376.56,381.7,373.8,381.24,76230298.0
2022-07-05 04:00:00+00:00,375.88,381.98,372.9,381.96,81666726.0
2022-07-06 04:00:00+00:00,382.11,385.87,379.6,383.25,71417341.0
2022-07-07 04:00:00+00:00,385.12,389.83,383.267,388.99,66586715.0
2022-07-08 04:00:00+00:00,387.27,390.64,385.66,388.67,73126115.0
2022-07-11 04:00:00+00:00,385.85,386.87,383.5,384.23,60196162.0
